id,seller_username,category_id_seller,category_id_buyer,quantity,status,round,offline_round
1344,a202300630171,99ac02c2f14a4ff79b25aabcf7ef835b,1645a2815960474bba3cf28b1b845230,1,UNPUBLISHED,3,4
1345,b202300630048,13e94ebcf9814bf988733e52812911aa,e3c434ead1054227ba7c92cd6b535f8d,1,UNPUBLISHED,3,3
1346,a202400620158,93773c94e3d84b83b7570ee5cefff6c6,bdf9387cb1df43978bae897cd310a382,1,UNPUBLISHED,3,4
1347,b202300630186,a557a0d332c44051bd3d78bd5a6e6f5a,554fe67f7ad046b4b61cbf4b69e2524f,1,UNPUBLISHED,3,4
1348,b202300630031,11dacc4c677846acaeb0985d72d96e6c,0b1b33e907ed42cbb0b8eec4e9c33389,1,UNPUBLISHED,3,4
1349,b202500620363,94643cc0bd604ad3a4cd763d78aa2fde,a0bed68d53fe4a83845373701a85a186,1,UNPUBLISHED,3,4
1350,b202500620113,764265ac9d8d441b90297252f4b163d8,992a468a89be42378619b2ff35cfac7f,1,UNPUBLISHED,3,4
1351,b202400630132,3fb4edfd82af4626a788d2e7d2703daa,47ecd24320af427bab6156c80b8b1045,1,UNPUBLISHED,3,4
1352,b202537671,bbec9b95b3ee43beabc57bef8c4c1dbf,c82242aa00e746bcaef2defa2854447f,1,UNPUBLISHED,3,4
1353,a202400620247,ddcced9f7991448a940ddc5ebab63a60,2366595466c84969bd4ef9a9bfb87e7a,1,UNPUBLISHED,3,4
1354,b202300620355,338f540091a7457d9cc1f318665336c9,8e93ba1206144c74b9c37241b0ed2631,1,UNPUBLISHED,3,3
1355,b202400810248,28e3b110339340418c12c47c67544e7f,d5aca270dd85413aab895117add51b76,1,PUBLISHED,3,
1356,a202400630081,842fb8e4ed754881a2692ad5ce0ef475,8529e4d87f514cdaabb9f5818fe81705,1,UNPUBLISHED,3,3
1357,b202300620274,690735b740624c949221b0e930ec01d3,2c83cd1fcdea40a2896d32423d0d074c,1,UNPUBLISHED,3,4
1358,b202300630251,845aa1cf19c94871bc199029287145fc,a650d11952c44df396fc50d10af5e37b,1,UNPUBLISHED,3,4
1359,a202500810212,c7b00a3b8ba3441198a4cf1da4c893c0,7efbc48d5dcc47bcaeb49ef51d4b4227,1,UNPUBLISHED,3,4
1360,a202300620066,ef61b832daa2408bab02f360dc6d16a5,2b5e3a6642df454080030c203e5c53aa,1,UNPUBLISHED,3,4
1361,b202437715,9cec0b780b674c03989cb7a829f1980c,674b9d7e28874387a27260c0ec6bd096,1,UNPUBLISHED,3,4
1362,b202400800323,0dcebc7878f849fdbeb1cf8e42b69e6b,cdc84c3d63ab4e848fce9dcf8640fe01,1,UNPUBLISHED,3,4
1363,a202300630126,44155393e91743df8bbaee3de019c628,1ce669acacbe45d28614e8490904338a,1,UNPUBLISHED,3,4
1364,b202300620274,88b6506736564a99b09d1019ce3487bd,48a0fc9edd6a40c1b3f6f964aa37b68a,1,UNPUBLISHED,3,3
1365,a202500620164,6fbc7b2b55ab45a4a6fed6f0d1b41282,7f532397bb2340db9e912e6a13517333,1,UNPUBLISHED,3,4
1366,b202400630111,d5a7f34d740d481e8c07e8eb8f5d9b76,e965711b07f24d5e950933e5351ac242,1,UNPUBLISHED,3,4
1367,b202300630048,044403383f8c491e9bf4820648b15912,b4567a36987941d4abf4b5b20cac711b,1,UNPUBLISHED,3,4
1368,a202400620072,1d6e7a8c43d54e98a8d7731dfce5d01f,f638fec1e6624649b67839e54be589d7,1,UNPUBLISHED,3,6
1369,b202100630041,156d9f8c92634da8b29a0c98776fab1d,35b36662f89340f39d83757576ec25fb,1,UNPUBLISHED,3,4
1370,b202400820061,3b9d560089de4ee299446eb1d4b5b2da,faf716f5e8fd4b09bee2f4457c9be5e3,1,UNPUBLISHED,3,4
1371,b202400630132,3c96ddc74bdc4097baf5642b19d6bd57,40709b92995d4f15a49e255a947e12f7,1,UNPUBLISHED,3,4
1372,a202400620243,57ec94bab8fe4ca5985872c9318b78f3,a8a754b803914957ad55a51ebe5cc3c6,1,UNPUBLISHED,3,4
1373,a202500620324,d28aadf8e0a5428c88793d151087a391,27c9c729852246e9ae5dae44e4252986,1,UNPUBLISHED,3,4
1374,a202400630081,114c03f540234e00be4bfbbc6aaf53d0,cbbec773f96a45379fc37160d40b3bfe,1,UNPUBLISHED,3,4
1375,a202500620315,a8641fb92dee4e1083e0dae6ef5514a3,d7ab2002998c4728a21292649a8265f3,1,UNPUBLISHED,3,3
1376,a202400620247,42b335b230be41898b1fd431ebe2f4df,3f09bbfc7bab440da5f4f6203488fb6f,1,UNPUBLISHED,3,4
1377,b202300620004,856cf11cb537485ca20cfc8d960f2c5f,c2534c03b5324d4886e07af4d2d1075d,1,UNPUBLISHED,3,4
1378,b202300630252,92206313fe0a4cbfbac4bf1b0f6d6b16,a335b32401fc42259c4025d018a65e8d,1,UNPUBLISHED,3,4
1379,b202500610001,96441097fa1348d08568211e731d64da,61adedbe73e54da4b88a30acbed91882,1,UNPUBLISHED,3,4
1380,b202500620132,ed5c9a21766b41289392c5acd3fa7a3b,2fd41ec11421452ea0835f9ca9838c86,1,UNPUBLISHED,3,5
1381,b202537671,cae11bdbf101460c80955093f7795803,df1a07f18c524891ac165a9287008b32,1,UNPUBLISHED,3,3
1382,b202400630111,e7337182477c442f9e4e90f3c084d449,e70326ea067343d39bb267f20c93fc97,1,UNPUBLISHED,3,4
1383,b202400630132,380bcc8a47964d4489bc87bb74913f21,68370bc267904d1eacd233b58fe5105b,1,UNPUBLISHED,3,3
1384,a202300800004,a9ae45e029bd4c8684c3c01353224b4d,106293133647423197cc7b3319eda2b9,1,UNPUBLISHED,3,4
1385,a202300630050,75e3380f99414b8dbd025f3218f9a11c,6d570ee3f2794e77893cda71ac470c2d,1,UNPUBLISHED,3,4
1386,a202400620243,e40e487725964c1ebdaa1f137f66c49f,df1a9e31641d42f986174f5afc46c9b4,1,UNPUBLISHED,3,4
1387,b202300630176,3bd2167464a64b0995a3c48d25ce7f74,14b6879969ff4abdb291b79c427274bd,1,UNPUBLISHED,3,4
1388,b202500620370,65bba1bba5264a7d9650d1734c8fbb51,232f40042c844b8687090cf660c05172,1,UNPUBLISHED,3,4
1389,b202300620355,b0873a0438c34e40ba834c9789ce104a,4cf82072499d4b9d96d6b73bb2da4ed3,1,UNPUBLISHED,3,4
1390,a202400630023,88ee8c7b42de4f25bbf9909a1b7aa9b4,50720f9c2805468b884c7bd25c19f11e,1,UNPUBLISHED,3,4
1391,b202400810248,94643cc0bd604ad3a4cd763d78aa2fde,2e0fd8222f234363ad8ade6c94511dac,1,UNPUBLISHED,3,4
1392,a202300620157,845aa1cf19c94871bc199029287145fc,4b00adf1b15a420bb21914ebd301d673,1,UNPUBLISHED,3,3
1393,b202500620241,edb87148f07f4f0393152ca7d384167f,a4321750af7a40069318d4b9b2b9f9de,1,UNPUBLISHED,3,3
1394,a202300630200,a372c807a7bd4ee798c20c196e41affd,0196502dc9d94fb8aa65304894bf8c98,1,UNPUBLISHED,3,4
1395,a202500620315,01c6f3500cf44658ac13a18bcfe23539,cfdc2fd2348d45d6863dd3aadeb53d24,1,UNPUBLISHED,3,4
1396,b202500620184,4a4efb961b0144faa1fe537c3a763c36,b7466d79d82c47658fc1f115ac3ecab5,1,UNPUBLISHED,3,4
1397,b202500620370,b6dbe10706984ca5af8b2950d85802ba,ba7be5e647024b21b5b8a370b0882d50,1,UNPUBLISHED,3,4
1398,a202500620164,29f317bb343943d18e06ad05cef4b9da,cb45ae949c85438a9932de815f49b0c1,1,UNPUBLISHED,3,4
1399,b202300620274,e10773fbb0a742c5a7e4e716c20eae6a,a44148cba5074b759cdae7d83b8a5e75,1,UNPUBLISHED,3,4
1400,a202300620066,491b11a4b5b14d1c82c6014e12c81867,7f62bce2bbdb4861aa2cb2d1cdd479bf,1,UNPUBLISHED,3,4
